rep,c18,c70_2027,c70_2025,c70_2020,avert_2027,avert_2025,avert_2020
0,81991.30985390964,76665.61219160071,73273.01162028938,69007.68829259006,5325.697662308929,8718.298233620255,12983.621561319582
1,42468.560808206654,38831.71764804547,38444.50267204535,37110.09994373072,3636.843160161181,4024.0581361613004,5358.4608644759355
2,55714.29576631539,52911.454570652095,47898.50806570953,48339.33746725823,2802.8411956632917,7815.787700605855,7374.958299057158
