"Age","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
10,1e-07,6e-07,1.2e-06,2.1e-06,3.8e-06,6.5e-06,1.05e-05,1.66e-05,2.55e-05,4.47e-05,5.54e-05,7.34e-05,0.0001108,0.0001497,0.0001885,0.000227,0.0002622,0.0002919,0.0003164,0.000342,0.0003696,0.0003859,0.0003781,0.0003594,0.000334,0.0003112,0.000281,0.0002348,0.000219,0.000203,0.0001679,0.0001569,0.0001335,0.0001036,7.5e-05,5.73e-05,4.02e-05,3.09e-05,2.5e-05,2.14e-05,1.7e-05,1.25e-05,1.09e-05,9.3e-06,8.1e-06,6.8e-06
11,1e-07,6e-07,1.2e-06,2.1e-06,3.8e-06,6.5e-06,1.05e-05,1.66e-05,2.55e-05,4.47e-05,5.54e-05,7.34e-05,0.0001108,0.0001497,0.0001885,0.000227,0.0002622,0.0002919,0.0003164,0.000342,0.0003696,0.0003859,0.0003781,0.0003594,0.000334,0.0003112,0.000281,0.0002348,0.000219,0.000203,0.0001679,0.0001569,0.0001335,0.0001036,7.5e-05,5.73e-05,4.02e-05,3.09e-05,2.5e-05,2.14e-05,1.7e-05,1.25e-05,1.09e-05,9.3e-06,8.1e-06,6.8e-06
12,1e-07,6e-07,1.2e-06,2.1e-06,3.8e-06,6.5e-06,1.05e-05,1.66e-05,2.55e-05,4.47e-05,5.54e-05,7.34e-05,0.0001108,0.0001497,0.0001885,0.000227,0.0002622,0.0002919,0.0003164,0.000342,0.0003696,0.0003859,0.0003781,0.0003594,0.000334,0.0003112,0.000281,0.0002348,0.000219,0.000203,0.0001679,0.0001569,0.0001335,0.0001036,7.5e-05,5.73e-05,4.02e-05,3.09e-05,2.5e-05,2.14e-05,1.7e-05,1.25e-05,1.09e-05,9.3e-06,8.1e-06,6.8e-06
13,1e-07,6e-07,1.2e-06,2.1e-06,3.8e-06,6.5e-06,1.05e-05,1.66e-05,2.55e-05,4.47e-05,5.54e-05,7.34e-05,0.0001108,0.0001497,0.0001885,0.000227,0.0002622,0.0002919,0.0003164,0.000342,0.0003696,0.0003859,0.0003781,0.0003594,0.000334,0.0003112,0.000281,0.0002348,0.000219,0.000203,0.0001679,0.0001569,0.0001335,0.0001036,7.5e-05,5.73e-05,4.02e-05,3.09e-05,2.5e-05,2.14e-05,1.7e-05,1.25e-05,1.09e-05,9.3e-06,8.1e-06,6.8e-06
14,1e-07,6e-07,1.2e-06,2.1e-06,3.8e-06,6.5e-06,1.05e-05,1.66e-05,2.55e-05,4.47e-05,5.54e-05,7.34e-05,0.0001108,0.0001497,0.0001885,0.000227,0.0002622,0.0002919,0.0003164,0.000342,0.0003696,0.0003859,0.0003781,0.0003594,0.000334,0.0003112,0.000281,0.0002348,0.000219,0.000203,0.0001679,0.0001569,0.0001335,0.0001036,7.5e-05,5.73e-05,4.02e-05,3.09e-05,2.5e-05,2.14e-05,1.7e-05,1.25e-05,1.09e-05,9.3e-06,8.1e-06,6.8e-06
15,4.1e-06,5.4e-06,6.6e-06,7.8e-06,9.1e-06,1.07e-05,1.19e-05,1.24e-05,1.34e-05,1.75e-05,1.9e-05,2.29e-05,3.33e-05,4.68e-05,6.47e-05,9.03e-05,0.0001225,0.0001603,0.0002025,0.0002327,0.0002297,0.000207,0.000183,0.0001662,0.0001553,0.0001519,0.0001528,0.0001517,0.0001532,0.0001535,0.0001532,0.0001552,0.0001466,0.0001372,0.0001357,0.0001277,0.0001217,0.0001083,9.38e-05,7.02e-05,5.34e-05,3.84e-05,3.05e-05,2.53e-05,2.13e-05,1.78e-05
16,4.1e-06,5.4e-06,6.6e-06,7.8e-06,9.1e-06,1.07e-05,1.19e-05,1.24e-05,1.34e-05,1.75e-05,1.9e-05,2.29e-05,3.33e-05,4.68e-05,6.47e-05,9.03e-05,0.0001225,0.0001603,0.0002025,0.0002327,0.0002297,0.000207,0.000183,0.0001662,0.0001553,0.0001519,0.0001528,0.0001517,0.0001532,0.0001535,0.0001532,0.0001552,0.0001466,0.0001372,0.0001357,0.0001277,0.0001217,0.0001083,9.38e-05,7.02e-05,5.34e-05,3.84e-05,3.05e-05,2.53e-05,2.13e-05,1.78e-05
17,4.1e-06,5.4e-06,6.6e-06,7.8e-06,9.1e-06,1.07e-05,1.19e-05,1.24e-05,1.34e-05,1.75e-05,1.9e-05,2.29e-05,3.33e-05,4.68e-05,6.47e-05,9.03e-05,0.0001225,0.0001603,0.0002025,0.0002327,0.0002297,0.000207,0.000183,0.0001662,0.0001553,0.0001519,0.0001528,0.0001517,0.0001532,0.0001535,0.0001532,0.0001552,0.0001466,0.0001372,0.0001357,0.0001277,0.0001217,0.0001083,9.38e-05,7.02e-05,5.34e-05,3.84e-05,3.05e-05,2.53e-05,2.13e-05,1.78e-05
18,4.1e-06,5.4e-06,6.6e-06,7.8e-06,9.1e-06,1.07e-05,1.19e-05,1.24e-05,1.34e-05,1.75e-05,1.9e-05,2.29e-05,3.33e-05,4.68e-05,6.47e-05,9.03e-05,0.0001225,0.0001603,0.0002025,0.0002327,0.0002297,0.000207,0.000183,0.0001662,0.0001553,0.0001519,0.0001528,0.0001517,0.0001532,0.0001535,0.0001532,0.0001552,0.0001466,0.0001372,0.0001357,0.0001277,0.0001217,0.0001083,9.38e-05,7.02e-05,5.34e-05,3.84e-05,3.05e-05,2.53e-05,2.13e-05,1.78e-05
19,4.1e-06,5.4e-06,6.6e-06,7.8e-06,9.1e-06,1.07e-05,1.19e-05,1.24e-05,1.34e-05,1.75e-05,1.9e-05,2.29e-05,3.33e-05,4.68e-05,6.47e-05,9.03e-05,0.0001225,0.0001603,0.0002025,0.0002327,0.0002297,0.000207,0.000183,0.0001662,0.0001553,0.0001519,0.0001528,0.0001517,0.0001532,0.0001535,0.0001532,0.0001552,0.0001466,0.0001372,0.0001357,0.0001277,0.0001217,0.0001083,9.38e-05,7.02e-05,5.34e-05,3.84e-05,3.05e-05,2.53e-05,2.13e-05,1.78e-05
20,6.48e-05,8.9e-05,0.0001186,0.0001527,0.0001882,0.0002205,0.0002452,0.0002565,0.0002606,0.0002921,0.000266,0.000242,0.0002614,0.0002621,0.0002529,0.0002401,0.000226,0.0002118,0.0001997,0.0001851,0.0001606,0.0001364,0.0001228,0.0001218,0.0001242,0.0001282,0.0001327,0.0001366,0.0001425,0.0001495,0.00016,0.0001713,0.0001661,0.0001568,0.0001565,0.0001482,0.0001416,0.0001384,0.0001376,0.0001243,0.0001128,0.000103,9.07e-05,7.68e-05,6.39e-05,5.23e-05
21,6.48e-05,8.9e-05,0.0001186,0.0001527,0.0001882,0.0002205,0.0002452,0.0002565,0.0002606,0.0002921,0.000266,0.000242,0.0002614,0.0002621,0.0002529,0.0002401,0.000226,0.0002118,0.0001997,0.0001851,0.0001606,0.0001364,0.0001228,0.0001218,0.0001242,0.0001282,0.0001327,0.0001366,0.0001425,0.0001495,0.00016,0.0001713,0.0001661,0.0001568,0.0001565,0.0001482,0.0001416,0.0001384,0.0001376,0.0001243,0.0001128,0.000103,9.07e-05,7.68e-05,6.39e-05,5.23e-05
