age,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
10,1.00E-07,6.00E-07,1.20E-06,2.10E-06,3.80E-06,6.40E-06,1.04E-05,1.65E-05,2.53E-05,4.43E-05,5.49E-05,7.29E-05,0.00011,0.0001483,0.0001866,0.0002247,0.0002594,0.000289,0.0003138,0.0003392,0.0003667,0.0003831,0.0003755,0.0003572,0.0003318,0.0003093,0.0002791,0.0002331,0.0002174,0.0002017,0.000167,0.000156,0.0001329,0.0001033,7.47E-05,5.71E-05,4.00E-05,3.08E-05,2.49E-05,2.13E-05,1.70E-05,1.25E-05,1.09E-05,9.30E-06,8.00E-06,6.70E-06
11,1.00E-07,6.00E-07,1.20E-06,2.10E-06,3.80E-06,6.40E-06,1.04E-05,1.65E-05,2.53E-05,4.43E-05,5.49E-05,7.29E-05,0.00011,0.0001483,0.0001866,0.0002247,0.0002594,0.000289,0.0003138,0.0003392,0.0003667,0.0003831,0.0003755,0.0003572,0.0003318,0.0003093,0.0002791,0.0002331,0.0002174,0.0002017,0.000167,0.000156,0.0001329,0.0001033,7.47E-05,5.71E-05,4.00E-05,3.08E-05,2.49E-05,2.13E-05,1.70E-05,1.25E-05,1.09E-05,9.30E-06,8.00E-06,6.70E-06
12,1.00E-07,6.00E-07,1.20E-06,2.10E-06,3.80E-06,6.40E-06,1.04E-05,1.65E-05,2.53E-05,4.43E-05,5.49E-05,7.29E-05,0.00011,0.0001483,0.0001866,0.0002247,0.0002594,0.000289,0.0003138,0.0003392,0.0003667,0.0003831,0.0003755,0.0003572,0.0003318,0.0003093,0.0002791,0.0002331,0.0002174,0.0002017,0.000167,0.000156,0.0001329,0.0001033,7.47E-05,5.71E-05,4.00E-05,3.08E-05,2.49E-05,2.13E-05,1.70E-05,1.25E-05,1.09E-05,9.30E-06,8.00E-06,6.70E-06
13,1.00E-07,6.00E-07,1.20E-06,2.10E-06,3.80E-06,6.40E-06,1.04E-05,1.65E-05,2.53E-05,4.43E-05,5.49E-05,7.29E-05,0.00011,0.0001483,0.0001866,0.0002247,0.0002594,0.000289,0.0003138,0.0003392,0.0003667,0.0003831,0.0003755,0.0003572,0.0003318,0.0003093,0.0002791,0.0002331,0.0002174,0.0002017,0.000167,0.000156,0.0001329,0.0001033,7.47E-05,5.71E-05,4.00E-05,3.08E-05,2.49E-05,2.13E-05,1.70E-05,1.25E-05,1.09E-05,9.30E-06,8.00E-06,6.70E-06
14,1.00E-07,6.00E-07,1.20E-06,2.10E-06,3.80E-06,6.40E-06,1.04E-05,1.65E-05,2.53E-05,4.43E-05,5.49E-05,7.29E-05,0.00011,0.0001483,0.0001866,0.0002247,0.0002594,0.000289,0.0003138,0.0003392,0.0003667,0.0003831,0.0003755,0.0003572,0.0003318,0.0003093,0.0002791,0.0002331,0.0002174,0.0002017,0.000167,0.000156,0.0001329,0.0001033,7.47E-05,5.71E-05,4.00E-05,3.08E-05,2.49E-05,2.13E-05,1.70E-05,1.25E-05,1.09E-05,9.30E-06,8.00E-06,6.70E-06
15,3.73E-05,5.36E-05,7.25E-05,9.41E-05,0.0001178,0.0001427,0.0001568,0.0001638,0.0001645,0.0001872,0.0001592,0.0001513,0.0001705,0.0001813,0.0001904,0.0002052,0.0002274,0.0002559,0.0002882,0.0003026,0.0002773,0.0002351,0.0001996,0.0001764,0.0001605,0.0001528,0.0001497,0.0001517,0.0001497,0.0001459,0.0001408,0.0001415,0.0001315,0.0001228,0.000116,0.0001094,0.0001081,9.71E-05,8.13E-05,7.14E-05,5.35E-05,3.89E-05,3.23E-05,2.80E-05,2.48E-05,2.23E-05
16,3.73E-05,5.36E-05,7.25E-05,9.41E-05,0.0001178,0.0001427,0.0001568,0.0001638,0.0001645,0.0001872,0.0001592,0.0001513,0.0001705,0.0001813,0.0001904,0.0002052,0.0002274,0.0002559,0.0002882,0.0003026,0.0002773,0.0002351,0.0001996,0.0001764,0.0001605,0.0001528,0.0001497,0.0001517,0.0001497,0.0001459,0.0001408,0.0001415,0.0001315,0.0001228,0.000116,0.0001094,0.0001081,9.71E-05,8.13E-05,7.14E-05,5.35E-05,3.89E-05,3.23E-05,2.80E-05,2.48E-05,2.23E-05
17,3.73E-05,5.36E-05,7.25E-05,9.41E-05,0.0001178,0.0001427,0.0001568,0.0001638,0.0001645,0.0001872,0.0001592,0.0001513,0.0001705,0.0001813,0.0001904,0.0002052,0.0002274,0.0002559,0.0002882,0.0003026,0.0002773,0.0002351,0.0001996,0.0001764,0.0001605,0.0001528,0.0001497,0.0001517,0.0001497,0.0001459,0.0001408,0.0001415,0.0001315,0.0001228,0.000116,0.0001094,0.0001081,9.71E-05,8.13E-05,7.14E-05,5.35E-05,3.89E-05,3.23E-05,2.80E-05,2.48E-05,2.23E-05
18,3.73E-05,5.36E-05,7.25E-05,9.41E-05,0.0001178,0.0001427,0.0001568,0.0001638,0.0001645,0.0001872,0.0001592,0.0001513,0.0001705,0.0001813,0.0001904,0.0002052,0.0002274,0.0002559,0.0002882,0.0003026,0.0002773,0.0002351,0.0001996,0.0001764,0.0001605,0.0001528,0.0001497,0.0001517,0.0001497,0.0001459,0.0001408,0.0001415,0.0001315,0.0001228,0.000116,0.0001094,0.0001081,9.71E-05,8.13E-05,7.14E-05,5.35E-05,3.89E-05,3.23E-05,2.80E-05,2.48E-05,2.23E-05
19,3.73E-05,5.36E-05,7.25E-05,9.41E-05,0.0001178,0.0001427,0.0001568,0.0001638,0.0001645,0.0001872,0.0001592,0.0001513,0.0001705,0.0001813,0.0001904,0.0002052,0.0002274,0.0002559,0.0002882,0.0003026,0.0002773,0.0002351,0.0001996,0.0001764,0.0001605,0.0001528,0.0001497,0.0001517,0.0001497,0.0001459,0.0001408,0.0001415,0.0001315,0.0001228,0.000116,0.0001094,0.0001081,9.71E-05,8.13E-05,7.14E-05,5.35E-05,3.89E-05,3.23E-05,2.80E-05,2.48E-05,2.23E-05
