year,name,genotype,value
2018,hpv_genotype_dist_with_hiv,16,0.188
2018,hpv_genotype_dist_with_hiv,18/45,0.116
2018,hpv_genotype_dist_with_hiv,31/33/35/52/58,0.275
2018,hpv_genotype_dist_with_hiv,51/59,0.067
2018,hpv_genotype_dist_with_hiv,39/56/66/68,0.123
2018,hpv_genotype_dist_with_hiv,HR13 +  66,0.551
