year,metric,med,pi95_low,pi95_high
1960.5,asr_cancer_incidence,0.0,0.0,0.0
1961.5,asr_cancer_incidence,0.0,0.0,0.0
1962.5,asr_cancer_incidence,0.0,0.0,0.0
1963.5,asr_cancer_incidence,0.0,0.0,0.23069988051627227
1964.5,asr_cancer_incidence,0.0,0.0,0.34075550805946175
1965.5,asr_cancer_incidence,0.23791932114693465,0.0,0.8829096137812965
1966.5,asr_cancer_incidence,0.6536468441604215,0.0537549696470562,2.3451925619774534
1967.5,asr_cancer_incidence,1.4362492236608673,0.5285161778219828,2.8265419665427793
1968.5,asr_cancer_incidence,2.3904557894354324,1.0313852283791003,4.532334915521043
1969.5,asr_cancer_incidence,3.826114522515253,2.2161506050946373,5.920340065233483
1970.5,asr_cancer_incidence,5.716228992070144,3.6346829058914616,8.098439964405234
1971.5,asr_cancer_incidence,7.406788602263553,4.365343643790536,10.57586815406901
1972.5,asr_cancer_incidence,9.64039522476471,6.47653025086449,14.353795461765012
1973.5,asr_cancer_incidence,12.437568410211412,8.699661389923515,15.816184221013183
1974.5,asr_cancer_incidence,14.635310564869592,10.204741445248253,17.998332820576444
1975.5,asr_cancer_incidence,15.904446789931995,11.702260956327711,23.522578552265948
1976.5,asr_cancer_incidence,19.908563544160693,12.507329505848526,26.122777396878146
1977.5,asr_cancer_incidence,21.966296068867827,16.441241946342902,26.81623487818001
1978.5,asr_cancer_incidence,23.518985180326407,17.533263066184748,27.65476858450828
1979.5,asr_cancer_incidence,24.49673703984532,19.801067224570215,34.45000540761955
1980.5,asr_cancer_incidence,26.10855564448098,19.40041368525711,37.55795104285257
1981.5,asr_cancer_incidence,28.590711435391256,21.525500659850092,34.5812558575871
1982.5,asr_cancer_incidence,28.85680626573404,22.75458351762069,36.67584003715219
1983.5,asr_cancer_incidence,29.720878112814844,22.483363983417465,38.00059669512486
1984.5,asr_cancer_incidence,29.982853026203458,22.75085311747803,34.862610024663944
1985.5,asr_cancer_incidence,30.80376264428356,22.687263570716013,39.99557685606625
1986.5,asr_cancer_incidence,31.246410673947004,23.759405637087717,40.15745759579698
1987.5,asr_cancer_incidence,30.503278308396887,24.256261239707182,39.52973077214269
1988.5,asr_cancer_incidence,31.609212658028376,23.661444793038207,39.396003407513696
1989.5,asr_cancer_incidence,32.28171585714072,22.988702054811622,38.253082474575066
1990.5,asr_cancer_incidence,31.702020416619888,23.927351467380127,40.314922494757695
1991.5,asr_cancer_incidence,32.64711197315023,22.23232253998624,40.70409676927245
1992.5,asr_cancer_incidence,31.728985162327575,22.203873782460406,40.46287733301407
1993.5,asr_cancer_incidence,31.37846577128186,24.246545183650255,38.16851338679873
1994.5,asr_cancer_incidence,27.86345520860616,20.18174648268497,35.32096520302571
1995.5,asr_cancer_incidence,39.77767957147644,30.141489483559152,51.68711077549852
1996.5,asr_cancer_incidence,41.55910949439024,30.52866328466884,52.23084900661817
1997.5,asr_cancer_incidence,33.37038279453806,23.409543091890523,40.29934842083779
1998.5,asr_cancer_incidence,29.63626075407051,20.4732058202326,34.977301873020544
1999.5,asr_cancer_incidence,24.661603190900447,16.77148558838844,33.475877431875766
2000.5,asr_cancer_incidence,23.17248107718821,15.34589688325638,29.463951243988014
2001.5,asr_cancer_incidence,21.160021810801652,14.994230369246422,25.645789493540033
2002.5,asr_cancer_incidence,19.673668895679633,13.942473439494728,25.89505877264476
2003.5,asr_cancer_incidence,19.138155782804287,12.909960808987147,24.8330288306937
2004.5,asr_cancer_incidence,19.028865432685034,13.58995454003442,23.82163567359169
2005.5,asr_cancer_incidence,19.782498814393875,14.707847314621814,24.96156676492052
2006.5,asr_cancer_incidence,19.28064894522184,14.341409325370423,23.97939027693891
2007.5,asr_cancer_incidence,19.800829003145832,15.495485195307806,25.38538954545576
2008.5,asr_cancer_incidence,19.5315940828673,14.434726709368888,25.10749587433362
2009.5,asr_cancer_incidence,19.831126286323062,15.014564080478197,26.442663746384323
2010.5,asr_cancer_incidence,21.499256551444468,15.515348691093354,24.58978375947019
2011.5,asr_cancer_incidence,21.41519994708786,17.410178180624268,26.26525099368168
2012.5,asr_cancer_incidence,22.17538486164228,16.860998029431677,26.667539255575374
2013.5,asr_cancer_incidence,22.514260332445076,17.39468076282721,28.943779282829343
2014.5,asr_cancer_incidence,22.864279021660046,18.708810395115872,27.4560769754353
2015.5,asr_cancer_incidence,24.175830516520485,18.13820142043464,28.943644715932052
2016.5,asr_cancer_incidence,24.35019507928368,20.33339118315162,29.738880159894425
2017.5,asr_cancer_incidence,24.671585742326286,19.81460390366249,29.462667877134155
2018.5,asr_cancer_incidence,26.03859325522586,19.545001324439845,33.137400135558934
2019.5,asr_cancer_incidence,26.55377609896184,20.83740890246791,30.99792603286315
2020.5,asr_cancer_incidence,28.361877761785312,22.972136817145376,33.33181250571918
2021.5,asr_cancer_incidence,27.924613613059755,22.007441472278792,32.75864748890065
2022.5,asr_cancer_incidence,29.706640803597047,20.754343355499824,35.95136582672853
2023.5,asr_cancer_incidence,30.214416511062264,22.07713947462992,35.45112874429954
2024.5,asr_cancer_incidence,30.88264579468655,24.138261471796373,38.21178879789543
1960.5,cancer_incidence_with_hiv,0.0,0.0,0.0
1961.5,cancer_incidence_with_hiv,0.0,0.0,0.0
1962.5,cancer_incidence_with_hiv,0.0,0.0,0.0
1963.5,cancer_incidence_with_hiv,0.0,0.0,0.0
1964.5,cancer_incidence_with_hiv,0.0,0.0,0.0
1965.5,cancer_incidence_with_hiv,0.0,0.0,13.81707611083984
1966.5,cancer_incidence_with_hiv,0.0,0.0,15.458279728889464
1967.5,cancer_incidence_with_hiv,0.0,0.0,15.679567646980281
1968.5,cancer_incidence_with_hiv,0.0,0.0,32.83709087371826
1969.5,cancer_incidence_with_hiv,4.7682623863220215,0.0,28.178986525535578
1970.5,cancer_incidence_with_hiv,12.04499626159668,0.0,38.80699646472931
1971.5,cancer_incidence_with_hiv,15.105763912200928,0.0,41.913831114768975
1972.5,cancer_incidence_with_hiv,18.09596300125122,0.0,61.354786181449875
1973.5,cancer_incidence_with_hiv,24.537298679351807,0.0,67.57882611751556
1974.5,cancer_incidence_with_hiv,18.635897159576416,0.0,59.585726845264425
1975.5,cancer_incidence_with_hiv,26.972179889678955,0.0,90.43833689689635
1976.5,cancer_incidence_with_hiv,29.13144040107727,7.01340366601944,70.10900809764861
1977.5,cancer_incidence_with_hiv,32.706647872924805,0.0,71.75695176124573
1978.5,cancer_incidence_with_hiv,32.51360321044922,14.671717071533203,101.64707396030423
1979.5,cancer_incidence_with_hiv,28.919528484344482,7.023970139026642,76.58215142488478
1980.5,cancer_incidence_with_hiv,33.11196446418762,7.593187904357911,81.8408065199852
1981.5,cancer_incidence_with_hiv,34.759621143341064,7.46414749622345,65.83230127096176
1982.5,cancer_incidence_with_hiv,37.44643497467041,6.791987037658691,71.0001539826393
1983.5,cancer_incidence_with_hiv,33.79333233833313,11.213121700286866,58.28479359149932
1984.5,cancer_incidence_with_hiv,34.40595030784607,11.988289201259613,64.8437380194664
1985.5,cancer_incidence_with_hiv,33.3519229888916,5.988550364971161,73.42130293846127
1986.5,cancer_incidence_with_hiv,28.497506380081177,6.7023469567298894,57.30753197669983
1987.5,cancer_incidence_with_hiv,32.409711837768555,5.7506216168403625,52.81620813608169
1988.5,cancer_incidence_with_hiv,30.821950435638428,16.285144340991973,64.65253695249557
1989.5,cancer_incidence_with_hiv,29.325318694114685,8.6442391872406,60.85144433975219
1990.5,cancer_incidence_with_hiv,34.171813011169434,11.106541848182678,51.01861971616745
1991.5,cancer_incidence_with_hiv,28.900352239608765,9.48667178750038,51.65916849374771
1992.5,cancer_incidence_with_hiv,29.824657678604126,13.591198098659515,50.54230428934097
1993.5,cancer_incidence_with_hiv,32.079161643981934,11.672769939899444,54.31458504796028
1994.5,cancer_incidence_with_hiv,28.76261329650879,14.064706081151963,48.99535769224166
1995.5,cancer_incidence_with_hiv,40.425949811935425,19.874796187877656,67.18926465511322
1996.5,cancer_incidence_with_hiv,41.00382852554321,18.25712054371834,91.71597328186033
1997.5,cancer_incidence_with_hiv,40.30304038524628,17.643278312683105,89.57902596592899
