bin,q1,med,q3,whislo,whishi
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,5.957155866847187,8.93573380027078,14.892889667117968,0.0,23.82862346738875
4,64.0394197431717,78.93230719107612,92.33590761408061,29.785778779432547,125.10025655968934
5,162.3325203959264,181.69328112420516,213.71298073192835,101.27165750364959,285.94345497810247
6,196.58599824746997,232.32895120226144,256.157531394986,107.2288411106661,330.6218782015562
7,176.4806070446208,204.0324250499189,232.32888906428218,131.0573247676015,277.0075164553821
8,157.86449676383438,174.2466645789981,199.56453568024637,113.18587381116151,241.2645967887938
9,128.07873185448648,147.43947926748393,166.0555695753485,89.35725478219986,190.62886346315145
10,87.12333672792613,104.25013945608734,121.37694218424856,65.52865350694657,169.77880183988808
11,50.63577770991325,56.59294578243494,72.23045205403864,26.807176434659954,98.29299801412822
12,20.85002611584663,26.807176434659958,29.78576934777498,8.935725478219986,38.7214770722866
13,5.957150318813324,8.935725478219986,14.892875797033309,0.0,26.80719418836832
14,0.7446437898516655,2.978575159406662,5.957150318813324,0.0,11.914300637626647
15,0.0,0.0,2.978575159406662,0.0,5.957150318813324
