scenario,metric,value,low,high
No interventions,cancers,208889.17362976074,201140.40213012698,217348.03736877444
No interventions,cancers_with_hiv,2991.9816694259644,2084.4089346408846,4032.101151800155
No interventions,cancers_no_hiv,205953.78701210022,197987.28176970483,214348.908960104
No interventions,cancer_deaths,167382.69104766846,160212.06125183107,174703.1439300537
No interventions,ablations,0.0,,
No interventions,txvs,0.0,,
No interventions,vaccinations,0.0,,
No interventions,screens,0.0,,
No interventions,excisions,0.0,,
No interventions,leeps,0.0,,
No interventions,cancer_treatments,0.0,,
Baseline,cancers,71400.98163604736,66622.74648818969,76049.64855346679
Baseline,cancers_with_hiv,1647.1536724567413,1049.0551964759827,2358.1402716159823
Baseline,cancers_no_hiv,69701.70312261581,64986.018108654025,74333.9878206253
Baseline,cancer_deaths,63528.6060256958,59291.57838287354,67827.88597106934
Baseline,ablations,855021.586730957,,
Baseline,txvs,0.0,,
Baseline,vaccinations,0.0,,
Baseline,screens,12170008.889648438,,
Baseline,excisions,0.0,,
Baseline,leeps,488763.78704833984,,
Baseline,cancer_treatments,0.0,,
S&T&T 18%,cancers,71552.88912963867,66964.38945846558,76061.860446167
S&T&T 18%,cancers_with_hiv,1629.2822053432465,1024.0351412296295,2348.60881562233
S&T&T 18%,cancers_no_hiv,69865.52491617203,65278.81254668236,74384.32572951318
S&T&T 18%,cancer_deaths,63665.62071228027,59649.6033782959,67611.93887939454
S&T&T 18%,ablations,867084.8188476562,,
S&T&T 18%,txvs,0.0,,
S&T&T 18%,vaccinations,0.0,,
S&T&T 18%,screens,12179840.981445312,,
S&T&T 18%,excisions,0.0,,
S&T&T 18%,leeps,501729.53873729706,,
S&T&T 18%,cancer_treatments,0.0,,
S&T 18%,cancers,63915.81492996216,59814.015347290035,68336.6206161499
S&T 18%,cancers_with_hiv,1492.2676169872284,912.9341793537142,2166.9155629634856
S&T 18%,cancers_no_hiv,62362.486778736115,58374.17059950829,66762.14446649552
S&T 18%,cancer_deaths,57559.53477478027,53422.587222290036,61319.39441833496
S&T 18%,ablations,2456618.018310547,,
S&T 18%,txvs,0.0,,
S&T 18%,vaccinations,0.0,,
S&T 18%,screens,12216945.114257812,,
S&T 18%,excisions,0.0,,
S&T 18%,leeps,1618597.9377441406,,
S&T 18%,cancer_treatments,0.0,,
S&TxV&T&T 18%,cancers,61215.733959198,57232.48178863525,65516.204959869385
S&TxV&T&T 18%,cancers_with_hiv,1466.9497010707855,921.274195957184,2097.216828870774
S&TxV&T&T 18%,cancers_no_hiv,59662.40602636337,55661.282076597214,63934.28260817528
S&TxV&T&T 18%,cancer_deaths,56125.34894180298,52493.27062301636,59864.35830993652
S&TxV&T&T 18%,ablations,740906.3188781738,,
S&TxV&T&T 18%,txvs,2809207.2958984375,,
S&TxV&T&T 18%,vaccinations,0.0,,
S&TxV&T&T 18%,screens,12215524.153320312,,
S&TxV&T&T 18%,excisions,0.0,,
S&TxV&T&T 18%,leeps,423559.7353849411,,
S&TxV&T&T 18%,cancer_treatments,0.0,,
S&TxV 18%,cancers,55890.03690338135,52034.267562103276,59621.003324890145
S&TxV 18%,cancers_with_hiv,1352.2744443416595,836.0868647098542,2031.68811173439
S&TxV 18%,cancers_no_hiv,54436.49084496498,50683.78039798737,58178.47830767632
S&TxV 18%,cancer_deaths,51630.67411804199,48124.887161254876,55380.406341552734
S&TxV 18%,ablations,54120.75549316406,,
S&TxV 18%,txvs,2931745.9868164062,,
S&TxV 18%,vaccinations,0.0,,
S&TxV 18%,screens,12213200.956054688,,
S&TxV 18%,excisions,0.0,,
S&TxV 18%,leeps,25812.356700897217,,
S&TxV 18%,cancer_treatments,0.0,,
S&T&T 35%,cancers,66678.44610595703,62663.91852874756,71110.27256469727
