age_causal_bin,median,share_pct
"[0, 20)",965.0,2.7
"[20, 30)",6356.0,17.5
"[30, 40)",12182.0,33.5
"[40, 50)",12206.0,33.5
"[50, 60)",3670.0,10.1
"[60, 200)",1028.0,2.8
