birth_cohort_10,median,p10,p90,share_pct
1930,0.0,0.0,3.0,0.0
1940,57.0,48.0,69.0,0.2
1950,804.0,620.0,873.0,2.2
1960,3116.0,2512.0,3653.0,8.3
1970,8665.0,7467.0,11145.0,23.2
1980,12427.0,10398.0,17268.0,33.3
1990,9058.0,6788.0,13074.0,24.2
2000,2204.0,1294.0,3869.0,5.9
2010,721.0,334.0,2242.0,1.9
2020,247.0,63.0,1442.0,0.7
2030,60.0,23.0,791.0,0.2
2040,15.0,5.0,407.0,0.0
2050,0.0,0.0,164.0,0.0
2060,0.0,0.0,33.0,0.0
2070,0.0,0.0,9.0,0.0
