age_causal_bin,median,share_pct
"[0, 20)",13764.0,5.2
"[20, 30)",70938.0,27.0
"[30, 40)",87937.0,33.4
"[40, 50)",66211.0,25.2
"[50, 60)",20007.0,7.6
"[60, 200)",4352.0,1.7
