birth_cohort_10,median,p10,p90,share_pct
1930,0.0,0.0,3.0,0.0
1940,60.0,53.0,70.0,0.1
1950,828.0,604.0,872.0,1.5
1960,3083.0,2527.0,3677.0,5.4
1970,8858.0,7449.0,11215.0,15.5
1980,16990.0,14398.0,23453.0,29.8
1990,17836.0,12391.0,23234.0,31.2
2000,4316.0,2970.0,6552.0,7.6
2010,2928.0,631.0,3650.0,5.1
2020,1317.0,234.0,3098.0,2.3
2030,545.0,6.0,1683.0,1.0
2040,238.0,0.0,951.0,0.4
2050,74.0,7.0,451.0,0.1
2060,6.0,0.0,96.0,0.0
2070,0.0,0.0,4.0,0.0
