birth_cohort_10,median,p10,p90,share_pct
1930,0.0,0.0,2.0,0.0
1940,57.0,49.0,79.0,0.0
1950,828.0,593.0,892.0,0.3
1960,3363.0,2500.0,3804.0,1.3
1970,9704.0,7602.0,11516.0,3.6
1980,22226.0,16058.0,27565.0,8.3
1990,27856.0,23729.0,40605.0,10.4
2000,43386.0,32509.0,58570.0,16.2
2010,47866.0,35442.0,65935.0,17.9
2020,46186.0,30612.0,64639.0,17.3
2030,33869.0,24586.0,53045.0,12.7
2040,20320.0,14087.0,32021.0,7.6
2050,9326.0,5745.0,14745.0,3.5
2060,2359.0,1382.0,3981.0,0.9
2070,167.0,92.0,253.0,0.1
