age_causal_bin,median,share_pct
"[0, 20)",1832.0,3.4
"[20, 30)",11456.0,21.3
"[30, 40)",18026.0,33.5
"[40, 50)",16290.0,30.2
"[50, 60)",4959.0,9.2
"[60, 200)",1325.0,2.5
